,Louvain,Greedy,FluidC,Girvan-Newman
Louvain,1.0,0.9631554631554632,0.37503765757707874,0.9676250126861236
Greedy,0.9631554631554632,1.0,0.38458818047943477,0.9676250126861236
FluidC,0.37503765757707874,0.38458818047943477,1.0,0.3905579156792733
Girvan-Newman,0.9676250126861236,0.9676250126861236,0.3905579156792733,1.0
