,in_degree,out_degree,betweenness,closeness,eigenvector,is_likely_promo
desertdweller760.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
mariaaragon64.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
tinamur.bsky.social,0,1,0.0,0.3175182481751825,0.01062730719311145,False
gabnat.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
jennie-ess.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
gothicfirekitteh.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
akoltchak.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
mslonib.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
uneasywriter.bsky.social,0,1,0.0,0.2543859649122807,0.02809588766198797,False
michaelraywilliams.bsky.social,0,1,0.0,0.3,0.0074470133033648234,False
imajerk.bsky.social,0,1,0.0,0.4223300970873786,0.07095679287929416,False
