,Louvain,Greedy,FluidC,Girvan-Newman
Louvain,1.0,0.9432561310101322,0.6017270284191741,0.9382016856753159
Greedy,0.9432561310101321,1.0,0.612783247364882,0.9382016856753159
FluidC,0.6017270284191742,0.612783247364882,1.0,0.6275953147145904
Girvan-Newman,0.9382016856753159,0.9382016856753159,0.6275953147145905,1.0
