,in_degree,out_degree,betweenness,eigenvector,is_likely_promo
jkfecke.bsky.social,4,5,0.0,2.4692999219869982e-20,False
tagrevista.com,4,0,1.657438875726062e-05,4.634356447086836e-30,False
flashtastic.bsky.social,4,4,0.0,0.3367720977283316,False
bttlborn.bsky.social,4,1,7.458474940767279e-06,4.765798562509799e-41,False
thr.com,4,0,4.972316627178185e-06,1.079857555212612e-49,False
comedyclub4kids.bsky.social,4,4,8.28719437863031e-07,2.1571329881728015e-25,False
jeffreyb43.bsky.social,4,3,1.2430791567945464e-05,1.5679660401007894e-34,False
kadath.bsky.social,4,0,4.972316627178185e-06,1.079857555212612e-49,False
electriceden92.bsky.social,4,0,1.2430791567945464e-05,3.947632248551377e-38,False
davidkuhne.bsky.social,4,2,9.115913816493341e-06,3.986721511055207e-37,False
kelleygreene.bsky.social,4,0,7.458474940767279e-06,5.202209131558387e-49,False
upstating.bsky.social,4,1,6.546883559117945e-05,4.2163281157482654e-27,False
formeresq.bsky.social,4,2,4.55795690824667e-05,1.7280642614425006e-21,False
gilesyb.bsky.social,4,1,2.4861583135890927e-06,8.146064976028586e-40,False
shadowtodd.bsky.social,4,1,2.569030257375396e-05,8.269876747376333e-35,False
omfproductions.bsky.social,4,5,0.0,2.657412857438053e-20,False
petrospect.blog,4,3,8.28719437863031e-07,7.967942382838194e-31,False
alertadetorrents.bsky.social,4,2,8.28719437863031e-07,2.3496859079267946e-33,False
leesahsea.bsky.social,3,3,8.28719437863031e-07,2.349685907926795e-33,False
contrariannews.org,3,0,5.303804402323398e-05,6.1525477343458444e-24,False
lacodefita.bsky.social,3,4,0.0,4.638312497531745e-22,False
keithgdesigns.bsky.social,3,3,0.0,6.961081965282403e-18,False
retronymous.com,3,1,2.651902201161699e-05,1.139336798490592e-27,False
labeautenoire3.bsky.social,3,2,1.5745669319397587e-05,4.681345149106621e-35,False
blackcatgarden.bsky.social,3,1,8.28719437863031e-07,7.421870128426008e-41,False
notkoze.trashmammal.club,3,1,0.0,6.819404281880921e-36,False
sorayanadiamcdonald.com,3,0,2.4861583135890927e-06,2.7094899933669213e-52,False
maxxfergus.bsky.social,3,0,2.4861583135890927e-06,2.7094899933669213e-52,False
shelleybwoke.bsky.social,3,0,8.28719437863031e-07,9.959499306053932e-48,False
jdotj.bsky.social,3,0,2.4861583135890927e-06,2.7094899933669213e-52,False
catdaddytwo.bsky.social,3,3,0.0,0.2525790732962487,False
csiwriter.bsky.social,3,3,0.0,6.522743643709484e-17,False
glimmerstomp.bsky.social,3,2,2.4861583135890927e-06,7.13434907534968e-42,False
ricardoautobahn.co.uk,3,0,2.4861583135890927e-06,2.7094899933669213e-52,False
winch72.bsky.social,3,4,0.0,1.0169517496480123e-18,False
thetrudz.photo,3,2,8.28719437863031e-07,4.593623169935307e-38,False
cezarfig.bsky.social,3,1,8.28719437863031e-07,7.42187012842601e-41,False
cassmorriswrites.com,3,1,8.28719437863031e-07,7.42187012842601e-41,False
queenoftacos.bsky.social,3,2,0.0,6.6399519856895775e-31,False
kateweb.bsky.social,3,3,0.0,2.0464360366523674e-25,False
spectralspade.org,3,2,4.972316627178185e-06,2.244196483852971e-44,False
kimbivega.bsky.social,3,4,0.00034640472502674694,7.445948505668435e-27,False
uncannyrodders.bsky.social,3,2,1.988926650871274e-05,1.4446770675327015e-37,False
weekendwarrior.bsky.social,3,1,2.4861583135890927e-06,6.260542200876967e-46,False
renbolger.bsky.social,3,4,0.0,1.3406443512373706e-14,False
cluniies.bsky.social,3,2,0.0,1.9873249327981074e-30,False
viennabeef.social,3,3,6.049651896400126e-05,6.245935855830304e-20,False
christopherxci.blacksky.app,3,1,0.0,6.210056837397409e-32,False
litop12.blacksky.app,3,4,3.314877751452124e-06,8.298626354527699e-32,False
stupidartpunk.bsky.social,3,0,2.4861583135890927e-06,2.7094899933669213e-52,False
bridgetemob.bsky.social,3,1,0.0,6.819404281880921e-36,False
sydney-bauer.com,3,1,2.4861583135890927e-06,6.260542200876964e-46,False
timprice.bsky.social,3,3,0.0,2.5284581340678443e-22,False
leavittalone.bsky.social,3,2,3.397749695238427e-05,4.734008182746571e-21,False
puesyanimodo.bsky.social,3,3,0.0,1.0960053791949794e-26,False
floridaman.bsky.social,3,5,2.40328636980279e-05,2.179357255921308e-29,False
jonjon85.bsky.social,3,3,0.0,1.0960053791949794e-26,False
sebastienlabelle.bsky.social,3,3,5.966779952613823e-05,1.014632338435837e-20,False
sunkissedpeaks.bsky.social,3,3,2.4861583135890927e-06,7.367861648433924e-39,False
beefinboots.bsky.social,3,0,2.4861583135890927e-06,2.7094899933669213e-52,False
jfruh.bsky.social,3,0,8.28719437863031e-07,9.959499306053932e-48,False
cskwriter.bsky.social,3,2,0.0,6.6399519856895775e-31,False
saramchenry.bsky.social,3,2,3.314877751452124e-05,2.62986042579677e-27,False
gavia.bsky.social,3,2,8.28719437863031e-07,4.5936231699353034e-38,False
ottocr.at,3,2,1.9060547070849712e-05,4.283701267062422e-36,False
pfunksahunk.bsky.social,3,3,0.0,6.961081965282403e-18,False
queenrayna1337.bsky.social,3,1,8.28719437863031e-07,7.421870128426008e-41,False
boxofhamsters.bsky.social,3,3,8.28719437863031e-07,2.349685907926795e-33,False
daddysahole.bsky.social,3,1,2.4861583135890927e-06,6.260542200876967e-46,False
tklv.bsky.social,3,1,8.28719437863031e-07,7.42187012842601e-41,False
