,in_degree,out_degree,betweenness,eigenvector,is_likely_promo
thecatgang3.bsky.social,1,1,0.0,0.0841930244320829,False
susanfromontario.bsky.social,1,0,0.0,5.801307575073053e-61,False
smread.bsky.social,1,2,0.0,3.8221255106218074e-38,False
ethanrunt.bsky.social,1,1,0.0,7.199050368084079e-50,False
matchatrees.bsky.social,1,0,0.0,4.892226356945462e-22,False
hopheadless.bsky.social,1,1,0.0,1.4856193053512523e-28,False
markharrison.bsky.social,1,1,0.0,7.199050368084079e-50,False
cowbwz4793.bsky.social,1,0,0.0,6.9941514612188835e-56,False
gavenkind.bsky.social,1,1,8.28719437863031e-07,9.891223853747346e-56,False
gambitlucis.bsky.social,1,1,0.0,8.524486279596763e-27,False
jcc333.bsky.social,1,1,0.00011602072130082433,2.1435259965408966e-27,False
tummy-aches.bsky.social,1,1,7.126987165622066e-05,1.3821553900622374e-15,False
leewilliamdesigns.bsky.social,1,1,0.0,7.199050368084079e-50,False
evilcheltdevil.bsky.social,1,1,0.0,7.199050368084079e-50,False
lisquercafe.bsky.social,1,1,0.0,7.199050368084079e-50,False
francylene.bsky.social,1,1,0.0,7.199050368084079e-50,False
goldengaytime.bsky.social,1,0,0.0,5.801307575073053e-61,False
rikabel69.bsky.social,1,1,0.0,8.90804698807943e-48,False
overstatedpathos.bsky.social,1,1,0.0,5.1527784177072186e-39,False
flickerbucket.bsky.social,1,2,0.0,5.3507618065122584e-42,False
treesandtrees.bsky.social,1,2,3.48062163902473e-05,2.948808067994709e-19,False
princeiiro.bsky.social,1,3,0.0001044186491707419,1.1436152739775794e-23,False
bobchipman.bsky.social,1,0,0.0,5.801307575073053e-61,False
rosemmalove.bsky.social,1,1,0.0,8.232330983273892e-30,False
mitchpeotter.bsky.social,1,0,0.0,5.801307575073053e-61,False
tinpottop.bsky.social,1,1,0.0,8.232330983273892e-30,False
jheniamnd.bsky.social,1,0,0.0,5.801307575073053e-61,False
goldcrapp.bsky.social,1,1,0.0,1.234575506027664e-22,False
littlestpersimmon.bsky.social,1,0,0.0,5.801307575073053e-61,False
raymondlamar.blacksky.app,1,0,0.0,5.801307575073053e-61,False
halpocalypse.bsky.social,1,0,0.0,5.801307575073053e-61,False
fayecrooks.bsky.social,1,1,0.0,5.784117794110614e-25,False
theluckysharms.bsky.social,1,2,0.0,1.4657682088501381e-36,False
ensigncelery.bsky.social,1,1,0.0,7.199050368084079e-50,False
regoneth.bsky.social,1,1,0.0,4.756232716899787e-42,False
pafcakes.bsky.social,1,1,0.0,4.756232716899787e-42,False
sombramapache.bsky.social,1,1,0.0,7.199050368084079e-50,False
glennyfromtheblock.bsky.social,1,1,0.0,6.474583036850063e-24,False
filmstories.bsky.social,1,0,0.0,5.801307575073053e-61,False
popculture2000s.bsky.social,1,0,0.0,5.801307575073053e-61,False
chrisrantin.bsky.social,1,0,0.0,5.801307575073053e-61,False
razorfemme.bsky.social,1,0,0.0,5.801307575073053e-61,False
stan-fresh.bsky.social,1,1,0.0,2.548083673747872e-38,False
dr4gula.bsky.social,1,2,4.475084964460367e-05,3.8081720243441933e-31,False
vincent.northsky.social,1,1,0.0,8.90804698807943e-48,False
mstewartsloan.bsky.social,1,0,0.0,5.801307575073053e-61,False
thelittleoutsider.neocities.org,1,2,0.0,2.5215365261577047e-19,False
ladyfoxglove93.bsky.social,1,1,0.0,1.6167368146788923e-15,False
vanitycomplex.bsky.social,1,1,0.0,1.6305593009633492e-37,False
shadyboots81.bsky.social,1,1,7.126987165622066e-05,1.8745673838955534e-16,False
nightrunner5.bsky.social,1,2,0.0,7.368393011820614e-40,False
samjoshphillips.bsky.social,1,1,0.0,7.199050368084079e-50,False
nickinmasham.bsky.social,1,1,0.0,7.199050368084079e-50,False
lyratalise.bsky.social,1,1,0.0,4.756232716899789e-42,False
scotgalalex.bsky.social,1,1,0.0,4.756232716899789e-42,False
filipksu.bsky.social,1,0,0.0,6.9941514612188835e-56,False
harbingerofchaos.bsky.social,1,2,3.314877751452124e-05,5.479329234407558e-29,False
philliper.bsky.social,1,0,0.0,6.9941514612188835e-56,False
leslieludanyi.bsky.social,1,1,0.0,8.90804698807943e-48,False
rickhammertime.bsky.social,1,2,0.0,5.3507618065122584e-42,False
sethhyneswriter.bsky.social,1,1,0.0,7.199050368084079e-50,False
marinal1411.bsky.social,1,1,0.0,2.5563549613332034e-47,False
nadinewhitney.bsky.social,1,1,0.0,7.199050368084079e-50,False
sugarcane99.bsky.social,1,0,0.0,5.801307575073053e-61,False
livesantacruz.bsky.social,1,2,7.126987165622066e-05,1.4288623324875913e-15,False
victoriangothic.bsky.social,1,1,0.0,2.966894027044556e-16,False
sleepypilots.bsky.social,1,1,0.0,1.681024350771803e-19,False
matchmyfrequency.bsky.social,1,2,0.0,2.5215365261577047e-19,False
lovely-lover.bsky.social,1,1,0.0,1.681024350771803e-19,False
taastee.blacksky.app,1,1,0.0,2.2351471523616134e-35,False
ninametz.bsky.social,1,0,0.0,5.801307575073053e-61,False
rachelsklar.bsky.social,1,2,0.0,1.2393589065889626e-28,False
whattheshea.bsky.social,1,1,0.0,8.262392710593083e-29,False
karinafjp.bsky.social,1,2,0.0,5.3507618065122584e-42,False
kateallen.ft.com,1,1,0.0,6.328303579911588e-26,False
katinadavis.bsky.social,1,1,0.0,7.199050368084079e-50,False
lemurtanis.bsky.social,1,1,0.0,7.199050368084079e-50,False
katzish.bsky.social,1,1,8.28719437863031e-07,9.891223853747346e-56,False
clarajeffery.bsky.social,1,0,0.0,6.9941514612188835e-56,False
kenjimallon.bsky.social,1,1,0.0,1.3433126501522736e-26,False
scottlapstra.bsky.social,1,1,0.0,5.784117794110614e-25,False
nsbooklady.bsky.social,1,1,0.0,2.88503499452406e-43,False
ypbpr.pw,1,0,0.0,5.801307575073053e-61,False
yetyetinu.bsky.social,1,3,0.0,6.819404281880921e-36,False
thewillarowe.bsky.social,1,0,0.0,5.801307575073053e-61,False
thegeekiary.bsky.social,1,0,0.0,5.801307575073053e-61,False
kutthroat2.bsky.social,1,2,1.2430791567945463e-06,4.773729585304132e-32,False
rejectionking.bsky.social,1,0,0.0,5.801307575073053e-61,False
shebjammin.blacksky.app,1,2,9.94463325435637e-06,2.378919413144674e-35,False
mythghts.bsky.social,1,1,0.0,4.956641424133972e-35,False
adrianhon.bsky.social,1,0,0.0,5.801307575073053e-61,False
lobosificado.bsky.social,1,1,0.0,6.14219278371515e-25,False
peta.org,1,0,0.0,4.454023494039715e-48,False
mohawkthebigkahuna.bsky.social,1,2,8.28719437863031e-07,9.959499306053932e-48,False
andryta.bsky.social,1,0,0.0,5.801307575073053e-61,False
northflagay.bsky.social,1,2,0.0,5.618712349907433e-26,False
williamgprince.bsky.social,1,1,0.0,3.745808233271622e-26,False
marzipanladyart.bsky.social,1,1,0.0,7.199050368084079e-50,False
rimoluna.bsky.social,1,1,0.0,7.199050368084079e-50,False
screenrant.bsky.social,1,0,0.0,5.801307575073053e-61,False
mattaiwarrior.bsky.social,1,1,0.0,1.6167368146788923e-15,False
violethour.bsky.social,1,1,0.0,1.2767996462932205e-27,False
mikeyjmike.bsky.social,1,2,0.0,5.3507618065122584e-42,False
joelskeetsos.bsky.social,1,0,0.0,5.801307575073053e-61,False
nymag.com,1,0,0.0,5.801307575073053e-61,False
meganhuang.bsky.social,1,1,0.0,7.199050368084079e-50,False
pinkpip.bsky.social,1,1,0.0,7.199050368084079e-50,False
megsokay.bsky.social,1,1,0.0,3.4585499326378467e-25,False
captainrodimus.bsky.social,1,0,0.0,5.801307575073053e-61,False
thatsparkles.bsky.social,1,1,7.126987165622066e-05,1.3821553900622374e-15,False
srviteri.bsky.social,1,0,0.0,5.801307575073053e-61,False
mia-ironeyes.northsky.social,1,1,0.0,3.4585499326378467e-25,False
alewatches.bsky.social,1,0,0.0,5.801307575073053e-61,False
vegankhan.bsky.social,1,1,0.0,8.90804698807943e-48,False
tfae89.bsky.social,1,4,0.0,2.2920193924536378e-30,False
onethousxndvces.bsky.social,1,0,0.0,5.801307575073053e-61,False
lookniimyeyez.bsky.social,1,2,0.0,3.601276742397701e-32,False
nzpom.com,1,1,0.0,4.756232716899787e-42,False
louis88.bsky.social,1,1,0.0,7.199050368084079e-50,False
trishmelbourne.bsky.social,1,1,0.0,7.199050368084079e-50,False
msash-renee.bsky.social,1,1,0.0,4.598096030880423e-35,False
markhachman.bsky.social,1,1,0.0,8.90804698807943e-48,False
lud7emo.bsky.social,1,1,0.0,1.3252321421519272e-22,False
mrtoads.bsky.social,1,1,0.0,2.905576427565749e-19,False
maralynmaralyn.bsky.social,1,0,0.0,5.801307575073053e-61,False
lyndalovon.bsky.social,1,1,0.0,2.452300293266909e-29,False
ruchomuscleworship.bsky.social,1,0,0.0,5.801307575073053e-61,False
vaguelynerdypod.bsky.social,1,0,0.0,5.801307575073053e-61,False
troublecumsround.bsky.social,1,0,0.0,5.801307575073053e-61,False
rachaelcamui.bsky.social,1,1,0.0,8.524486279596763e-27,False
ryanwritesgood.bsky.social,1,1,0.0,8.524486279596763e-27,False
slimetictacs.bsky.social,1,1,0.0,8.524486279596763e-27,False
woketopus.northsky.social,1,1,0.0,8.524486279596763e-27,False
whytetara.bsky.social,1,0,0.0,5.801307575073053e-61,False
hanamimi.bsky.social,1,0,0.0,5.801307575073053e-61,False
nordacious.bsky.social,1,0,0.0,5.801307575073053e-61,False
willian1975.bsky.social,1,1,0.0,7.199050368084079e-50,False
jumancin.bsky.social,1,1,0.0,7.199050368084079e-50,False
smallbonsai471.bsky.social,1,0,0.0,5.801307575073053e-61,False
pajiba.com,1,0,0.0,5.801307575073053e-61,False
hotbbui.bsky.social,1,2,0.0,5.3507618065122584e-42,False
hristaki.bsky.social,1,1,0.0,7.199050368084079e-50,False
stephenarussell.bsky.social,1,1,0.0,7.199050368084079e-50,False
hynkel.bsky.social,1,1,1.657438875726062e-06,1.5799142534133433e-47,False
puppygirlchaos.bsky.social,1,2,0.0,7.041004231137775e-41,False
silencingtrees.bsky.social,1,2,0.0,5.751944302130818e-20,False
idajo.bsky.social,1,1,0.0,1.1810565200925576e-23,False
problematick.bsky.social,1,1,0.0,2.548083673747873e-38,False
bastidrs.bsky.social,1,0,0.0,5.801307575073053e-61,False
imaaronrobert.bsky.social,1,1,0.0,1.262973054240903e-22,False
timcampbellvo.bsky.social,1,1,0.0,4.497266541624503e-32,False
incision.site,1,2,0.0,5.3507618065122584e-42,False
quendergeer.bsky.social,1,1,3.314877751452124e-05,1.623790358788642e-27,False
infiniteishq.bsky.social,1,1,0.0,7.199050368084079e-50,False
myedison.bsky.social,1,1,0.0,7.199050368084079e-50,False
michaelflinn.bsky.social,1,1,6.629755502904248e-06,2.0763023601836605e-35,False
owwenex.bsky.social,1,0,0.0,5.801307575073053e-61,False
nancyk5.bsky.social,1,0,0.0,5.801307575073053e-61,False
quennybeep.bsky.social,1,2,0.0,5.3507618065122584e-42,False
hitmypeakat7ft.swifties.social,1,2,0.0,5.3507618065122584e-42,False
prettybutshit.bsky.social,1,1,0.0,7.199050368084079e-50,False
meister.bsky.social,1,1,0.0,7.199050368084079e-50,False
snhoj.bsky.social,1,1,0.0,1.861228190915901e-29,False
kencometrue31.bsky.social,1,0,0.0,5.801307575073053e-61,False
solzyatthemovies.com,1,0,0.0,5.801307575073053e-61,False
xraynaqueen.bsky.social,1,2,7.831398687805643e-05,4.3702213407131804e-16,False
broccolirob.gobirds.online,1,0,0.0,5.801307575073053e-61,False
heatherw25.bsky.social,1,1,0.0,2.88503499452406e-43,False
helenrottier.bsky.social,1,1,0.0,7.199050368084079e-50,False
kizzythechemist.bsky.social,1,1,0.0,7.199050368084079e-50,False
rakerblaze.bsky.social,1,0,0.0,5.801307575073053e-61,False
ratchetology.bsky.social,1,1,4.226469133101466e-05,1.8936165512192992e-16,False
lilemil.bsky.social,1,1,0.0,3.830412432106773e-15,False
melanieraye89.bsky.social,1,2,0.0,5.745618648160159e-15,False
nanaslugdiva.blacksky.app,1,2,0.0,5.745618648160159e-15,False
ryanlohner.bsky.social,1,1,0.0,3.830412432106773e-15,False
comicbasics.com,1,0,0.0,5.801307575073053e-61,False
jcov.bsky.social,1,0,0.0,2.827345335029103e-26,False
diflaversham.bsky.social,1,0,0.0,5.801307575073053e-61,False
hilarieashton.bsky.social,1,2,0.0003430898472752948,3.16801171648105e-27,False
hipsterl0s.bsky.social,1,1,0.0,7.199050368084079e-50,False
vamospeat.bsky.social,1,0,0.0,5.801307575073053e-61,False
ivyinmyheart.bsky.social,1,1,0.0,8.524486279596763e-27,False
transmoleman.bsky.social,1,0,0.0,5.801307575073053e-61,False
mollyjongfast.bsky.social,1,0,0.0,5.801307575073053e-61,False
patrickwb95.bsky.social,1,2,0.0,5.3507618065122584e-42,False
spryoldlorax.bsky.social,1,2,0.0,9.012611103209186e-21,False
thejrocktv.bsky.social,1,2,0.0,5.3507618065122584e-42,False
jmrivera.bsky.social,1,1,0.0,7.199050368084079e-50,False
lexplays.bsky.social,1,1,0.0,7.199050368084079e-50,False
natizilda.art.br,1,0,0.0,5.801307575073053e-61,False
joereid.bsky.social,1,1,0.0,8.90804698807943e-48,False
patbarber20.bsky.social,1,1,0.0,2.88503499452406e-43,False
philippeaubertcote.bsky.social,1,2,0.0,5.3507618065122584e-42,False
jona-maz.bsky.social,1,3,0.00022126808990942926,4.822703015565424e-27,False
samwell-slughorn.bsky.social,1,2,1.2430791567945464e-05,1.087215261504817e-29,False
thedragonfortress.bsky.social,1,0,0.0,5.801307575073053e-61,False
joodlehead.bsky.social,1,3,8.701554097561824e-05,2.3001447333275438e-20,False
josephexists.bsky.social,1,2,0.0,2.0149689752284105e-26,False
joshidotphoto.bsky.social,1,1,0.0,1.4142469615079427e-31,False
ourobororoboruo.bsky.social,1,2,5.8010360650412165e-06,2.53944010120668e-29,False
tapeworthy.bsky.social,1,2,0.0,5.3507618065122584e-42,False
tzemingdynasty.bsky.social,1,2,0.0,3.6784504399003634e-29,False
orbette.bsky.social,1,1,0.0,1.2538421431134577e-25,False
sheepbop.bsky.social,1,2,0.0,5.3507618065122584e-42,False
seanhoyer.bsky.social,1,1,0.0,7.199050368084079e-50,False
pipoquer.bsky.social,1,1,0.0,7.199050368084079e-50,False
jessicamosby.bsky.social,1,1,0.0,7.199050368084079e-50,False
arrobagaf.bsky.social,1,0,0.0,5.801307575073053e-61,False
fictionhorizon.bsky.social,1,0,0.0,5.801307575073053e-61,False
weaselingaround.bsky.social,1,1,0.0,1.262973054240903e-22,False
madocactus.itch.io,1,0,0.0,3.974649865596214e-31,False
spotteajj.bsky.social,1,0,0.0,5.801307575073053e-61,False
huffpost.com,1,0,0.0,5.801307575073053e-61,False
saraclements.bsky.social,1,0,0.0,5.801307575073053e-61,False
thomasfelpersham.bsky.social,1,1,1.5331309600466072e-05,5.583749469128057e-26,False
handle.invalid,1,0,0.0,5.801307575073053e-61,False
stephenstroud.bsky.social,1,1,0.0,7.199050368084079e-50,False
philsbodydouble.bsky.social,1,1,0.0,7.199050368084079e-50,False
changoatx.bsky.social,1,0,0.0,5.801307575073053e-61,False
jayasaxena.com,1,1,0.0,7.199050368084079e-50,False
tylercoates.bsky.social,1,1,0.0,7.199050368084079e-50,False
jayzedbee.bsky.social,1,1,0.0,1.3877933545807256e-25,False
spannerhead.bsky.social,1,2,0.0,4.780765429690076e-31,False
lulzqurrel.bsky.social,1,1,0.0,7.431202537579518e-35,False
percivalpenman.bsky.social,1,2,3.0662619200932145e-05,2.665456226313714e-25,False
stereogum.com,1,0,0.0,5.801307575073053e-61,False
jameslrennie.bsky.social,1,1,4.143597189315155e-07,1.9523691623596583e-26,False
migelianope.bsky.social,1,1,0.0,7.199050368084079e-50,False
undeadrobins.bsky.social,1,1,0.0,7.199050368084079e-50,False
tiredbit.ch,1,1,0.0,5.149241239056351e-32,False
porosensual.bsky.social,1,1,0.0,3.1701178864413956e-30,False
ccdude8.bsky.social,1,1,0.00010317557001394723,1.3869172128605617e-15,False
catherineedgson.bsky.social,1,1,0.0,7.199050368084079e-50,False
anarchyoriginal.bsky.social,1,1,0.0,7.199050368084079e-50,False
dria.bsky.social,1,0,0.0,4.454023494039715e-48,False
chicagotribune.com,1,0,0.0,5.801307575073053e-61,False
chacofemme.lesbian.cat,1,1,0.0,8.90804698807943e-48,False
sangrium.is-extremely.gay,1,0,0.0,5.801307575073053e-61,False
vampiregrin.bsky.social,1,1,0.0,2.88503499452406e-43,False
moviemanifesto.bsky.social,1,1,0.0,7.199050368084079e-50,False
fran.pw,1,0,0.0,5.801307575073053e-61,False
chaseruni.bsky.social,1,1,0.0,7.199050368084079e-50,False
flexdad.bsky.social,1,1,0.0,7.199050368084079e-50,False
amanaboutfilm.bsky.social,1,1,0.0,7.199050368084079e-50,False
dr0girl.bsky.social,1,0,0.0,5.801307575073053e-61,False
egg.indy.fyi,1,1,2.651902201161699e-05,7.647301630260041e-29,False
cathectic.bsky.social,1,1,0.0,4.253836906075246e-39,False
renatabsales.bsky.social,1,3,0.0,6.340235772882791e-30,False
dalyashleydrh2o.bsky.social,1,2,0.0,7.041004231137777e-41,False
nonotthatpaul.bsky.social,1,1,1.2430791567945464e-05,2.252085045568913e-27,False
trollyman.bsky.social,1,2,0.0,5.3507618065122584e-42,False
shipatadistance.bsky.social,1,2,0.0,5.3507618065122584e-42,False
annakornbluh.bsky.social,1,1,0.0,1.4793788523664545e-20,False
brandonyan.com,1,1,0.0,7.199050368084079e-50,False
candiceactually.bsky.social,1,2,0.0,5.3507618065122584e-42,False
thebagisyourscoach.bsky.social,1,0,0.0,5.801307575073053e-61,False
angelahjkim.bsky.social,1,1,0.0,7.199050368084079e-50,False
joannat.bsky.social,1,1,0.0,5.114553211410672e-36,False
captainmcwow.bsky.social,1,1,0.0,7.199050368084079e-50,False
screamingdeadbody.bsky.social,1,1,0.0,7.199050368084079e-50,False
car0linethais.bsky.social,1,2,0.0,7.041004231137777e-41,False
elaineynwa.bsky.social,1,2,0.0,7.671829817116007e-36,False
joparkerbear.bsky.social,1,1,3.314877751452124e-05,1.623790358788642e-27,False
playsbothsides.bsky.social,1,2,0.0,5.3507618065122584e-42,False
wesleyleblanc.bsky.social,1,0,0.0,5.801307575073053e-61,False
fucklandlords.com,1,2,0.0,5.3507618065122584e-42,False
knickerbacker.bsky.social,1,0,0.0,5.801307575073053e-61,False
xanderoconnor.bsky.social,1,3,0.0,2.0836382776724886e-27,False
tecoapple.com,1,0,0.0,1.4873893484211757e-30,False
cinquinho.bsky.social,1,1,0.0,9.771788059000922e-37,False
citizenkris24.bsky.social,1,1,0.0,1.0508114831794153e-33,False
platonskull.bsky.social,1,1,0.0,2.955170953247197e-25,False
stephendaedalus.bsky.social,1,1,0.0,8.90804698807943e-48,False
permission2bfancy.bsky.social,1,1,0.0,2.955170953247197e-25,False
erinbiba.bsky.social,1,2,0.0,6.380755359112871e-39,False
normiecore.bsky.social,1,2,0.0,4.432756429870796e-25,False
sparklecinnabubz.bsky.social,1,1,0.0,7.199050368084079e-50,False
mark151.bsky.social,1,0,0.0,5.801307575073053e-61,False
girlcinema.bsky.social,1,0,0.0,5.801307575073053e-61,False
claudinhabc.bsky.social,1,2,0.0,5.3507618065122584e-42,False
alishaspillswine.bsky.social,1,1,0.0,7.199050368084079e-50,False
alicesoapbox.bsky.social,1,1,0.0,4.756232716899787e-42,False
manycura.bsky.social,1,1,0.0,7.199050368084079e-50,False
alexxremake.eurosky.social,1,1,0.0,7.199050368084079e-50,False
wdragon.bsky.social,1,0,0.0,1.4873893484211757e-30,False
omelete.com.br,1,0,0.0,1.4873893484211757e-30,False
chrisafer.bsky.social,1,2,0.0,1.8518632590414958e-22,False
meumundopop.bsky.social,1,0,0.0,1.4873893484211757e-30,False
unenthuser.bsky.social,1,0,0.0,5.801307575073053e-61,False
abundantmischief.bsky.social,1,0,0.0,5.801307575073053e-61,False
nickafterdark.bsky.social,1,1,0.0,7.199050368084079e-50,False
chrissayshi.bsky.social,1,1,0.0,1.5710989730485253e-20,False
almostalt617.bsky.social,1,1,0.0,7.199050368084079e-50,False
stevekend33.bsky.social,1,1,0.0,4.253836906075246e-39,False
frizfrizzle.bsky.social,1,0,0.0,5.801307575073053e-61,False
harmsen.net,1,0,0.0,5.801307575073053e-61,False
spkheller.bsky.social,1,1,0.0,7.199050368084079e-50,False
us.theconversation.com,1,0,0.0,5.801307575073053e-61,False
allisonkilkenny.bsky.social,1,1,0.0,7.199050368084079e-50,False
aquelefilme.bsky.social,1,0,0.0,1.4873893484211757e-30,False
cnn-brasil.bsky.social,1,0,0.0,1.4873893484211757e-30,False
diegoquaglia.bsky.social,1,0,0.0,1.4873893484211757e-30,False
whatsforlynch.bsky.social,1,2,0.0,4.432756429870796e-25,False
paulino-gui.bsky.social,1,1,0.0,3.3027006349979034e-41,False
martina47.bsky.social,1,2,2.3204144260164866e-05,4.490074264581008e-22,False
byron2284.bsky.social,1,1,0.0,1.2125236862650353e-22,False
badgerbleu2.bsky.social,1,1,0.0,2.1742478812364943e-17,False
ttrenae.bsky.social,1,1,0.0,7.199050368084079e-50,False
baconflatbread.bsky.social,1,1,0.0,1.6305593009633492e-37,False
bigjohn8.bsky.social,1,1,0.0,4.253836906075246e-39,False
untitleduser.bsky.social,1,0,0.0,5.801307575073053e-61,False
babybillybfyre.bsky.social,1,1,8.28719437863031e-07,5.954881207981327e-43,False
lukevallewrites.bsky.social,1,1,0.0,7.199050368084079e-50,False
nderringer.bsky.social,1,0,0.0,5.801307575073053e-61,False
traitor45.bsky.social,1,1,5.303804402323398e-05,2.9493628911664125e-25,False
awardswatch.bsky.social,1,1,0.0,7.199050368084079e-50,False
mockwooloo.bsky.social,1,2,0.0,7.041004231137775e-41,False
blake105.bsky.social,1,3,0.0,1.7222305071871788e-31,False
cesmustache.bsky.social,1,1,1.5331309600466072e-05,1.5878705293281142e-31,False
emilycgb.bsky.social,1,0,0.0,5.801307575073053e-61,False
jordansmix.bsky.social,1,1,3.0662619200932145e-05,1.9481303232001195e-20,False
blogus.bsky.social,1,1,0.0,8.325275810851527e-22,False
vintagewingnut.bsky.social,1,1,0.0,7.199050368084079e-50,False
sacpedrohs.bsky.social,1,1,6.629755502904248e-06,2.0763023601836605e-35,False
aubreygilleran.bsky.social,1,1,2.569030257375396e-05,6.879946102387141e-28,False
bertjim.bsky.social,1,2,0.0,1.7381300836488095e-15,False
bastbuxxx.bsky.social,1,1,0.0,6.542507134373839e-20,False
moviessilently.bsky.social,1,0,0.0,5.801307575073053e-61,False
laffingbuddha.bsky.social,1,1,0.0,8.90804698807943e-48,False
willis-paints.bsky.social,1,2,0.0,5.3507618065122584e-42,False
beardynoise.bsky.social,1,1,0.0,1.1373084918799314e-21,False
banblew.bsky.social,1,2,0.0,1.287138609308276e-20,False
beckylevine.bsky.social,1,1,0.0,7.199050368084079e-50,False
carriefinison.bsky.social,1,1,0.0,7.199050368084079e-50,False
zabusan.bsky.social,1,0,0.0,5.801307575073053e-61,False
lorritto.bsky.social,1,1,0.0,3.011467952384795e-24,False
baldjameswin.bsky.social,1,2,5.303804402323398e-05,1.0802441544076623e-23,False
joanofbarc.bsky.social,1,0,0.0,5.801307575073053e-61,False
bakesdeb.bsky.social,1,1,0.0,2.4742141139506514e-31,False
bellabanana.bsky.social,1,2,0.0,1.3474490979373628e-29,False
benjwey.bsky.social,1,1,0.0,8.90804698807943e-48,False
auspices.bsky.social,1,2,0.0,5.745618648160159e-15,False
bluetit24.bsky.social,1,1,0.0,7.199050368084079e-50,False
tomandlorenzo.bsky.social,1,1,0.0,3.4585499326378467e-25,False
mushqoom.bsky.social,1,1,0.0,2.88503499452406e-43,False
breaksthings.bsky.social,1,2,0.0,5.751944302130818e-20,False
jsthrill.modphi.com,1,3,0.0,6.819404281880921e-36,False
trappedinazorb.bsky.social,1,1,4.972316627178185e-06,1.0538198787075168e-50,False
michaelgrossauthor.bsky.social,1,0,0.0,5.801307575073053e-61,False
thenowofmylife.bsky.social,1,1,0.0,7.199050368084079e-50,False
brucerfeldman.bsky.social,1,2,0.0,5.3507618065122584e-42,False
wardo188.bsky.social,1,1,0.0,7.199050368084079e-50,False
wrenispinkle.bsky.social,1,1,0.0,7.199050368084079e-50,False
aoife-rose.bsky.social,1,1,0.0,2.734515315924429e-15,False
kslater.bsky.social,1,0,0.0,5.801307575073053e-61,False
ashlenasharma.bsky.social,1,0,0.0,5.801307575073053e-61,False
antlerlad.bsky.social,1,2,0.0,7.041004231137777e-41,False
tyrotcm.bsky.social,1,1,0.0,7.199050368084079e-50,False
anthrotechana.bsky.social,1,1,0.0,7.199050368084079e-50,False
outonthemoors.bsky.social,1,0,0.0,5.801307575073053e-61,False
terrorflix2.bsky.social,1,0,0.0,5.801307575073053e-61,False
makeitvyz.bsky.social,1,1,0.0,2.88503499452406e-43,False
tomatematemate.bsky.social,1,0,0.0,5.801307575073053e-61,False
whmpodcast.bsky.social,1,0,0.0,5.801307575073053e-61,False
wildsown.bsky.social,1,1,0.0,7.199050368084079e-50,False
aliafonzy.blacksky.app,1,0,0.0,5.801307575073053e-61,False
deadweightlks.bsky.social,1,0,0.0,5.801307575073053e-61,False
bonecarussa.bsky.social,1,1,5.6352921774686106e-05,1.6584634445377498e-30,False
softmossdog.bsky.social,1,2,0.0,5.3507618065122584e-42,False
batgirldeb.bsky.social,1,0,0.0,5.801307575073053e-61,False
boothoundmcr.bsky.social,1,2,0.0,2.121370442261914e-31,False
fllicsofficial.bsky.social,1,0,0.0,5.801307575073053e-61,False
victorieux.bsky.social,1,1,0.0,7.199050368084079e-50,False
oldbaby.bsky.social,1,0,0.0,5.801307575073053e-61,False
vulnicura-jc.bsky.social,1,1,0.0,7.199050368084079e-50,False
ricowtta.bsky.social,1,1,0.0,1.0508114831794153e-33,False
chakram84.bsky.social,1,1,0.0,8.580924062055174e-21,False
bozodeluxe.bsky.social,1,1,0.0,1.0611125545179657e-26,False
scribblerrob.bsky.social,1,0,0.0,5.801307575073053e-61,False
rekati.bsky.social,1,1,7.126987165622066e-05,1.3821553900622374e-15,False
umaenot.bsky.social,1,1,0.0,2.955170953247197e-25,False
eu-health.bsky.social,1,0,0.0,5.801307575073053e-61,False
demadevotee.bsky.social,1,2,0.0,1.9140827384984395e-19,False
dcwritermark.bsky.social,1,2,0.0,3.6784504399003634e-29,False
russellwrites.bsky.social,1,0,0.0,5.801307575073053e-61,False
timgrierson.bsky.social,1,0,0.0,5.801307575073053e-61,False
zoomzeta.blackskycomra.de,1,2,0.0,5.3507618065122584e-42,False
delwynm.bsky.social,1,1,0.0,7.199050368084079e-50,False
drjudymelinek.bsky.social,1,1,0.0,7.199050368084079e-50,False
demontwunk9.bsky.social,1,1,0.00011270584354937221,4.984417124063896e-21,False
varindel.bsky.social,1,0,0.0,5.801307575073053e-61,False
abh93.bsky.social,1,1,2.651902201161699e-05,2.1303090023217988e-27,False
destinysraven.bsky.social,1,1,0.0,7.199050368084079e-50,False
jakobjarecki.bsky.social,1,1,0.0,7.199050368084079e-50,False
elisatc.bsky.social,1,2,0.0,6.856008560321564e-33,False
vange-r.bsky.social,1,2,0.0,6.856008560321564e-33,False
disabilitystor1.bsky.social,1,1,0.0,2.88503499452406e-43,False
sarafoss.bsky.social,1,2,0.0,3.1852439417894326e-37,False
p-no-nwa.bsky.social,1,1,0.0,2.123495961192955e-37,False
indrekibrus.bsky.social,1,0,0.0,5.801307575073053e-61,False
skyfatherwolf.bsky.social,1,1,3.314877751452124e-06,3.267255405286305e-49,False
adamzucker.bsky.social,1,1,0.0,7.199050368084079e-50,False
cosmicshambles.com,1,1,0.0,6.226879978091447e-38,False
darkwingmatt.bsky.social,1,1,0.0,6.542507134373839e-20,False
chiron1.bsky.social,1,0,0.0,5.801307575073053e-61,False
